word,counts
蔡徐坤,986
转发,635
微博,591
cxk,127
千千,119
完成,96
超话,69
再见,51
快来,44
TA,44
应援,44
喜欢,42
世界,39
Bigger,34
ONE,34
舞台,34
能量,31
数据,30
公益,29
音乐,27
动物,26
哥哥,25
小心,23
开心,23
可爱,21
看见,20
照相机,19
东方,19
风云榜,19
只能,18
最好,18
温柔,18
vivo,18
坚持,18
前行,17
不听话,17
办法,16
KnightRose,16
任性,16
努力,16
拜拜,15
温暖,15
梦想,14
永远,14
x23,14
意外,14
發微博,14
##,14
微博轉,14
一起,14
加油,13
感谢,13
榜样,13
快乐,13
未来,13
少年,13
善良,13
带来,12
一秒,12
宠物医院,12
抱抱,12
时尚,12
waitwaitwait,12
彩铃,12
时间,12
阅读,11
终于,11
砥砺,11
无法,11
遇见,10
相处,10
一周年,10
获得,10
青春,10
片刻,10
百无禁忌,10
时刻,10
一份,10
一段,10
希望,10
大使,9
咪咕,9
全网,9
工作室,9
代言人,9
中牙,9
友好,9
晚安,9
视频,9
卫视,9
TRENDS,9
打榜,9
看到,9
尾声,9
不忘,9
初心,9
蓬蓬,9
步入,9
一次,9
慰藉,9
